#,Country,Gun Death Rate,Deaths by Firearms,Suicides by Firearms,Accidental Deaths by Firearms
135,Belgium,0.34 per 100k,41,1.58 per 100k,0.06 per 100k
136,Croatia,0.34 per 100k,16,1.87 per 100k,0.08 per 100k
137,France,0.32 per 100k,222,2.64 per 100k,0.19 per 100k
138,Algeria,0.31 per 100k,135,0.17 per 100k,0.12 per 100k
139,Lithuania,0.3 per 100k,9,0.61 per 100k,0.08 per 100k
140,United Arab Emirates,0.3 per 100k,38,0.4 per 100k,0.15 per 100k
141,Moldova,0.29 per 100k,12,0.21 per 100k,0.08 per 100k
142,Burundi,0.28 per 100k,31,0.5 per 100k,1.1 per 100k
143,Cuba,0.28 per 100k,32,0.24 per 100k,0.17 per 100k
144,Kuwait,0.28 per 100k,15,0.06 per 100k,0.01 per 100k
145,Azerbaijan,0.27 per 100k,29,0.09 per 100k,0.16 per 100k
146,Estonia,0.27 per 100k,4,0.9 per 100k,0.06 per 100k
147,Bosnia and Herzegovina,0.26 per 100k,9,0.78 per 100k,0.07 per 100k
148,Slovakia,0.25 per 100k,15,0.92 per 100k,0.19 per 100k
149,Sweden,0.25 per 100k,24,1.22 per 100k,0.03 per 100k
150,The Gambia,0.24 per 100k,5,0.45 per 100k,0.68 per 100k
151,Netherlands,0.23 per 100k,38,0.26 per 100k,0.02 per 100k
152,Mongolia,0.22 per 100k,8,0.61 per 100k,0.05 per 100k
153,Finland,0.21 per 100k,12,2.66 per 100k,0.03 per 100k
154,Luxembourg,0.21 per 100k,1,1.01 per 100k,0.05 per 100k
155,Tunisia,0.2 per 100k,24,0.16 per 100k,0.32 per 100k
156,Australia,0.18 per 100k,45,0.75 per 100k,0.04 per 100k
157,Ireland,0.18 per 100k,9,0.36 per 100k,0.04 per 100k
158,Slovenia,0.18 per 100k,4,1.52 per 100k,0.02 per 100k
159,Switzerland,0.18 per 100k,18,2.47 per 100k,0.04 per 100k
160,Tajikistan,0.18 per 100k,17,0.03 per 100k,0.21 per 100k
161,Mauritius,0.17 per 100k,3,0.09 per 100k,0.02 per 100k
162,Saudi Arabia,0.17 per 100k,80,0.29 per 100k,0.98 per 100k
163,Vanuatu,0.17 per 100k,0,1.04 per 100k,0.37 per 100k
164,Fiji,0.16 per 100k,1,0.05 per 100k,0.05 per 100k
165,Czech Republic,0.15 per 100k,17,1.32 per 100k,0.09 per 100k
166,Denmark,0.15 per 100k,8,0.93 per 100k,0.03 per 100k
