#,Country,Stabbing Death Rate,Murder Rate,Female Homicide Rate,Gun Death Rate
94,Northern Mariana Islands,0.94 per 100k,,,0.97 per 100k
95,Maldives,0.93 per 100k,,,0.15 per 100k
96,Georgia,0.86 per 100k,,,1.2 per 100k
97,Cameroon,0.85 per 100k,,,1.03 per 100k
98,Ghana,0.83 per 100k,,,0.73 per 100k
99,Antigua and Barbuda,0.8 per 100k,9.19 per 100k,1.97 per 100k,1.9 per 100k
100,Azerbaijan,0.8 per 100k,2.27 per 100k,1.56 per 100k,0.27 per 100k
101,Armenia,0.79 per 100k,1.75 per 100k,1.02 per 100k,0.64 per 100k
102,Tajikistan,0.79 per 100k,0.91 per 100k,0.21 per 100k,0.18 per 100k
103,Romania,0.76 per 100k,1.46 per 100k,0.97 per 100k,0.06 per 100k
104,Rwanda,0.76 per 100k,,,1.06 per 100k
105,Vietnam,0.75 per 100k,,,0.12 per 100k
106,Liberia,0.73 per 100k,,,0.84 per 100k
107,Puerto Rico,0.71 per 100k,18.49 per 100k,3.06 per 100k,19.72 per 100k
108,Peru,0.69 per 100k,,,1.44 per 100k
109,Bermuda,0.67 per 100k,,,1.5 per 100k
110,Bulgaria,0.67 per 100k,0.99 per 100k,0.73 per 100k,0.55 per 100k
111,India,0.64 per 100k,2.95 per 100k,2.47 per 100k,0.56 per 100k
112,Grenada,0.61 per 100k,12.44 per 100k,5.37 per 100k,0.66 per 100k
113,Israel,0.6 per 100k,,0.58 per 100k,1.05 per 100k
114,United States of America,0.6 per 100k,6.52 per 100k,2.6 per 100k,4.12 per 100k
115,Iraq,0.58 per 100k,,,6.57 per 100k
116,Turkey,0.57 per 100k,2.48 per 100k,0.88 per 100k,1.05 per 100k
117,Guam,0.56 per 100k,,,0.58 per 100k
118,Finland,0.55 per 100k,1.64 per 100k,,0.21 per 100k
119,Madagascar,0.54 per 100k,,,0.6 per 100k
120,Lebanon,0.53 per 100k,1.88 per 100k,,1.3 per 100k
121,Myanmar,0.53 per 100k,0.01 per 100k,0.01 per 100k,0.38 per 100k
122,Canada,0.49 per 100k,1.97 per 100k,0.9 per 100k,0.5 per 100k
123,Poland,0.49 per 100k,0.7 per 100k,0.46 per 100k,0.08 per 100k
124,Syria,0.49 per 100k,,,1 per 100k
125,Australia,0.48 per 100k,0.87 per 100k,0.58 per 100k,0.18 per 100k
126,Qatar,0.48 per 100k,0.42 per 100k,0.28 per 100k,0.13 per 100k
