Country,Stabbing Death Rate,Gun Death Rate
Iraq,0.58 per 100k,6.57 per 100k
Turkey,0.57 per 100k,1.05 per 100k
Guam,0.56 per 100k,0.58 per 100k
Finland,0.55 per 100k,0.21 per 100k
Madagascar,0.54 per 100k,0.6 per 100k
Lebanon,0.53 per 100k,1.3 per 100k
Myanmar,0.53 per 100k,0.38 per 100k
Canada,0.49 per 100k,0.5 per 100k
Poland,0.49 per 100k,0.08 per 100k
Syria,0.49 per 100k,1 per 100k
Australia,0.48 per 100k,0.18 per 100k
Qatar,0.48 per 100k,0.13 per 100k
Serbia,0.48 per 100k,0.82 per 100k
Sierra Leone,0.48 per 100k,0.5 per 100k
Malaysia,0.47 per 100k,0.35 per 100k
Jordan,0.45 per 100k,1.51 per 100k
Slovakia,0.45 per 100k,0.25 per 100k
Malawi,0.44 per 100k,0.62 per 100k
Hungary,0.41 per 100k,0.07 per 100k
Indonesia,0.41 per 100k,0.06 per 100k
Morocco,0.4 per 100k,0.46 per 100k
New Zealand,0.4 per 100k,0.15 per 100k
Palestine,0.4 per 100k,5.01 per 100k
Burundi,0.39 per 100k,0.28 per 100k
Luxembourg,0.39 per 100k,0.21 per 100k
Kuwait,0.37 per 100k,0.28 per 100k
Belgium,0.36 per 100k,0.34 per 100k
Spain,0.36 per 100k,0.13 per 100k
Bosnia and Herzegovina,0.35 per 100k,0.26 per 100k
Croatia,0.35 per 100k,0.34 per 100k
Sweden,0.35 per 100k,0.25 per 100k
Fiji,0.34 per 100k,0.16 per 100k
Greece,0.34 per 100k,0.35 per 100k
Yemen,0.34 per 100k,0.83 per 100k
Czech Republic,0.32 per 100k,0.15 per 100k
Montenegro,0.32 per 100k,0.99 per 100k
People's Republic of China,0.32 per 100k,0.02 per 100k
Portugal,0.32 per 100k,0.4 per 100k
Senegal,0.32 per 100k,0.44 per 100k
Bangladesh,0.31 per 100k,0.78 per 100k
Malta,0.31 per 100k,0.45 per 100k
Nepal,0.31 per 100k,0.1 per 100k
South Korea,0.31 per 100k,0.02 per 100k
Vanuatu,0.31 per 100k,0.17 per 100k
Albania,0.29 per 100k,1.39 per 100k
Cyprus,0.29 per 100k,0.51 per 100k
Republic of Macedonia,0.28 per 100k,0.98 per 100k
Taiwan,0.28 per 100k,0.11 per 100k
Libya,0.25 per 100k,0.59 per 100k
Netherlands,0.25 per 100k,0.23 per 100k
Norway,0.25 per 100k,0.07 per 100k
Slovenia,0.25 per 100k,0.18 per 100k
Germany,0.23 per 100k,0.08 per 100k
Iceland,0.23 per 100k,0.06 per 100k
Denmark,0.22 per 100k,0.15 per 100k
Bahrain,0.2 per 100k,0.36 per 100k
France,0.2 per 100k,0.32 per 100k
Bhutan,0.19 per 100k,0.1 per 100k
Italy,0.19 per 100k,0.35 per 100k
Sudan,0.19 per 100k,0.51 per 100k
The Gambia,0.19 per 100k,0.24 per 100k
Austria,0.18 per 100k,0.13 per 100k
Ireland,0.16 per 100k,0.18 per 100k
Switzerland,0.16 per 100k,0.18 per 100k
Algeria,0.14 per 100k,0.31 per 100k
Saudi Arabia,0.14 per 100k,0.17 per 100k
Andorra,0.12 per 100k,0.08 per 100k
San Marino,0.12 per 100k,0.08 per 100k
Singapore,0.12 per 100k,0.01 per 100k
Iran,0.11 per 100k,0.6 per 100k
United Arab Emirates,0.1 per 100k,0.3 per 100k
Egypt,0.09 per 100k,0.38 per 100k
Japan,0.09 per 100k,0.02 per 100k
Monaco,0.08 per 100k,0.09 per 100k
Oman,0.08 per 100k,0.03 per 100k
Tunisia,0.08 per 100k,0.2 per 100k
United Kingdom,0.08 per 100k,0.04 per 100k
